"Tabel 4.1.1Banyaknya Gedung Sekolah, Sekolah, Ruang Kelas, Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Menurut Desa di Kecamatan Yaru, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru Laki- laki ,Guru Perem puan ,Guru Jumlah ,Rasio Murid Guru
Romean ,2,2,12,12,172,138,310,8,12,20,15.5
Rumngeur ,1,1,6,6,28,36,64,3,9,12,5.33
Awear ,1,1,6,6,27,28,55,4,4,8,6.87
Sofyanin ,1,1,6,6,102,91,193,1,8,9,21.44
Walerang ,1,1,6,6,92,68,160,2,3,5,32
Adodo Fordata ,2,2,12,12,85,74,159,7,8,15,10.6
