"Tabel 4.3.1 Banyaknya Tempat Peribadatan Menurut Desa di Kecamatan Yaru, 2012",,,,,,
,,,,,,
Desa ,Mesjid ,Mushola ,Gereja  Protestan ,Gereja Katolik,Pura ,Vihara
Romean ,0,0,2,1,0,0
Rumngeur ,0,0,1,0,0,0
Awear ,0,0,0,1,0,0
Sofyanin ,0,0,0,1,0,0
Walerang ,0,0,1,0,0,0
Adodo Fordata ,0,0,1,0,0,0
