Tabel 1.1.1 Letak Geografis dan Batas Wilayah Kecamatan Yaru,,,,,
,,,,,
Letak Geografis,,,,,
Lintang : ,"6,98° ­ 7,08° Lintang Selatan",,,,
Bujur : ,"131,90° ­ 132,02° Bujur Timur",,,,
Batas Wilayah,,,,,
Utara : ,Kabupaten Maluku Tenggara,,,,
Selatan : ,Kecamatan Tanimbar Utara,,,,
Barat : ,Kecamatan Wuarlabobar,,,,
Timur : ,Laut Arafura,,,,
