"Tabel 2.5. Kecamatan Yaru, 2012",,,,,
,,,,,
Desa ,Kepala Desa  Definitif ,Sekertaris Desa,Badan Perwakilan Desa,,
Romean,+,+,+,,
Rumngeur,+,+,+,,
Awear,+,+,+,,
Sofyanin,+,+,+,,
Walerang,+,+,+,,
Adodo Fordata,+,+,+,,
,,,,,
