"Tabel 5.1.1 Luas Areal , Luas Panen, Produksi, dan Produktivitas Tanaman Pangan Menurut Jenis di Kecamatan Yaru, 2012",,,,,,,,
,,,,,,,,
Jenis Tanaman ,Luas Tanam (ha) ,Luas Panen (ha),Produksi (ton) ,Produktivitas (kuintal/ha),,,,
Padi Ladang ,55,52,78,15.0,,,,
Jagung ,40,36,92,25.6,,,,
Ketela Pohon ,25,23,138,60.0,,,,
Ketela Rambat ,19,16,122,70.0,,,,
Kacang Tanah ,16,13,21,16.2,,,,
Kacang Hijau ,32,29,69,23.8,,,,
Kacang-Kacang Lainnya,31,29,23,7.9,,,,
Ubi-Ubian Lainnya ,48,45,330,73.3,,,,
