"Tabel 5.3.1 Luas lahan potensial Perkebunan di Kecamatan Tanimbar Selatan (ha), 20112012",,,,
,,,,
kecamatan ,Luas lahan potensial perkebunan (ha) ,Luas areal (Ha) Sudah di GarapSwadaya ,Luas areal (Ha) Sudah di Garap Proyek,Luas areal (Ha)  Belum di Garap
2011," 4,983.40 "," 3,507.00 ", 801.70 , 681.94 
2012," 4,983.40 "," 3,507.76 ", 806.70 , 668.94 
,,,,
,,,,
