"Tabel 5.4.1 Populasi Ternak Menurut Desa di Kecamatan Tanimbar Selatan (ekor), 2012",,,,,,,,,,
,,,,,,,,,,
Desa ,Sapi Potong,Kerbau ,Kambing ,Domba ,Babi ,Lainnya,,,,
Saumlaki ,112,- ,20,- ,148,-,,,,
Olilit ,202,- ,5,- ,247,-,,,,
Sifnana ,188,- ,15,- ,317,-,,,,
Lauran ,5,- ,- ,- ,112,-,,,,
Kabyarat ,-,- ,8,- ,67,-,,,,
Ilngei ,90,- ,- ,- ,60,-,,,,
Wowonda ,60,- ,- ,- ,100,-,,,,
Bomaki ,-,- ,- ,- ,80,-,,,,
Lermatang ,-,- ,7,- ,69,-,,,,
Latdalam ,87,- ,- ,- ,250,-,,,,
Matakus ,-,- ,- ,- ,50,-,,,,
