"Tabel 4.2.10 Banyaknya Anak Terlantar Menurut Desa di Kecamatan Tanimbar Selatan, 2011-2012",,,,,,,,,,,
,,,,,,,,,,,
Tahun ,Yatin ,Piatu ,Yatin Piatu,Lainya ,Jumlah,,,,,,
2011,85,77,51,53,266,,,,,,
2012,99,103,55,88,345,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
