"Tabel 6.2 Banyaknya Pedagang Menurut Desa di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,
,,,,,,,,,,
Desa ,Pedagang  Besar ,Pedagang  Menengah ,Pedagang Kecil,Jumlah,,,,,,
Saumlaki ,41,157,260,458,,,,,,
Olilit ,1,4,27,32,,,,,,
Sifnana ,-,11,25,36,,,,,,
Lauran ,-,2,4,6,,,,,,
Kabyarat ,-,-,- ,0,,,,,,
Ilngei ,-,-,- ,-,,,,,,
Wowonda ,1,1,1,3,,,,,,
Bomaki ,-,-,1,1,,,,,,
Lermatang ,-,-,- ,-,,,,,,
Latdalam ,-,-,1,1,,,,,,
Matakus ,-,-,- ,-,,,,,,
