Tabel 2.4 Nama Camat dan Masa Jabatan di Kecamatan Tanimbar Selatan,,,,,
,,,,,
Nama Camat ,Masa Jabatan,,,,
Drs. J.Rettob ,1999-2002,,,,
"S.Tutkey ,S.Sos ",2002-2005,,,,
"J.Watratan, S.Sos ",2005-2007,,,,
"L.I.Rahanubun, S.Sos ",2007-2009,,,,
P.A.Sabono. AP ,2009-2011,,,,
C.Batmomolin S.Sos ,2011-2013,,,,
,,,,,
,,,,,
,,,,,
,,,,,
