"Tabel 6.1.4. Banyaknya Koperasi Menurut Jenis di Kecamatan Wermaktian, 2012",,,,,,,,
,,,,,,,,
Desa ,KUD ,KPN ,KOPKAR ,KOPPAS ,Lainnya ,Jumlah,,
Batu Putih ,1,0,0,0,2,3,,
Wermatang ,0,0,0,0,2,2,,
Makatian ,0,0,0,0,1,1,,
Weratan ,0,0,0,0,2,2,,
Themin ,1,0,0,0,2,3,,
Welutu ,0,0,0,0,5,5,,
Rumah Salut ,0,0,0,0,5,5,,
Kamatubun ,0,0,0,0,7,7,,
