Tabel 2.1.4 Nama Camat Menurut Masa Jabatan di Kecamatan Wermaktian,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nama Camat ,Masa Jabatan,,,,,,,,,,,,
Drs. A. H. Lokra ,2003-2005,,,,,,,,,,,,
"Falirat Eskol, S.Sos ",2005-2007,,,,,,,,,,,,
"G. Zudy, S.STP ",2007-2009,,,,,,,,,,,,
Drs. Th. Rangotwat ,2009-2011,,,,,,,,,,,,
Drs. Th. Rangotwat ,2009-2012,,,,,,,,,,,,
"M. Sairdekut, S.Sos ",2012-……..,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
