"Tabel 3.1.4. Banyaknya Penduduk dan Keluarga Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,
,,,,,,,
Desa ,Penduduk ,Keluarga,,,,,
Batu Putih ,1738,347,,,,,
Wermatang ,728,147,,,,,
Makatian ,1740,300,,,,,
Weratan ,1738,386,,,,,
Themin ,756,165,,,,,
Welutu ,704,170,,,,,
Rumah Salut ,1524,339,,,,,
Kamatubun ,2495,467,,,,,
