"Tabel 5.1.2 Luas Panen Tanaman Pangan di Kecamatan Wermaktian (ha), 2010-2012",,,,,,,,,,,
,,,,,,,,,,,
Jenis Tanaman ,2010,2011,2012,,,,,,,,
Padi Ladang ,60,35,79,,,,,,,,
Jagung ,61,38,40,,,,,,,,
Ketela Pohon ,27,27,35,,,,,,,,
Ketela Rambat ,30,28,31,,,,,,,,
Kacang Tanah ,17,20,24,,,,,,,,
Kacang Hijau ,33,33,39,,,,,,,,
Kacang-Kacangan Lainnya ,55,55,65,,,,,,,,
Ubi-Ubian Lainnya ,73,73,80,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
