"Tabel 5.5.4 Jumlah Alat Penangkap Ikan Menurut Jenisnya di Kecamatan Wermaktian, 2012",,,,,,,,
,,,,,,,,
Desa ,Pukat ,Jaring  Insang ,Jaring  Angkat ,Pancing ,Perangkap ,Alat Pengumpul & Alat Tangkap,Lainnya,
Batu Putih ,0,15,0,39,0,0,39,
Wermatang ,0,18,0,18,0,6,14,
Makatian ,0,24,0,34,0,21,40,
Weratan ,0,30,21,121,23,71,90,
Themin ,0,15,12,65,17,40,40,
Welutu ,0,27,20,112,27,60,81,
Rumah Salut,0,85,26,141,34,58,103,
Kamatubun ,0,94,11,102,45,92,95,
Marantutul ,0,15,0,21,0,16,19,
