"Tabel 5.5.2 Produksi dan Nilai Perikanan Tangkap Menurut Desa di Kecamatan Wermaktian, 2011 ­ 2012",,,,,,,,
,,,,,,,,
Desa,Produksi (ton) 2011,Produksi (ton) 2012,Nilai (ribu rupiah) 2011,Nilai (ribu rupiah) 2012,,,,
Batu Putih ,146.18,100.78,1903225,1320574,,,,
Wermatang ,73.09,75.59,951613,990430,,,,
Makatian ,109.64,113.38,1427419,1485645,,,,
Weratan ,182.73,188.97,2379033,2476076,,,,
Themin ,121.82,125.98,1586022,1650717,,,,
Welutu ,158.36,163.77,2061828,2145932,,,,
Rumah Salut ,194.91,201.57,2537635,2641147,,,,
Kamatubun ,231.45,239.36,3013441,3136362,,,,
Marantutul ,*,* ,50.39,660287,,,,
