"Tabel 5.2.2 Luas Panen Tanaman Sayuran Menurut Jenis Sayuran di Kecamatan Wermaktian (ha), 2012",,,,,,,,,,,
,,,,,,,,,,,
Jenis Sayuran ,Luas Panen (ha),,,,,,,,,,
Bawang Merah ,2.5,,,,,,,,,,
Cabe ,1.5,,,,,,,,,,
Kubis ,1.5,,,,,,,,,,
Petsai ,1.8,,,,,,,,,,
Kacang Panjang ,0.5,,,,,,,,,,
Buncis ,0.8,,,,,,,,,,
Bayam ,2.0,,,,,,,,,,
Kangkung ,7.0,,,,,,,,,,
