"Tabel 2.1.1 Banyaknya Dusun, Rukun Warga/Rukun Kampung, dan Rukun Tetangga Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
Desa ,Dusun ,RW/RK ,RT,,,,,,,,,,
Batu Putih ,0,2,6,,,,,,,,,,
Wermatang ,0,2,4,,,,,,,,,,
Makatian ,0,2,8,,,,,,,,,,
Weratan ,1,2,6,,,,,,,,,,
Themin ,0,2,4,,,,,,,,,,
Welutu ,0,2,4,,,,,,,,,,
Rumah Salut ,1,2,6,,,,,,,,,,
Kamatubun ,3,4,9,,,,,,,,,,
Marantutul ,0,1,3,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
