"Tabel 3.1.1 Luas Wilayah, Jumlah Penduduk dan Kepadatan Penduduk Menurut Desa di Kecamatan Wermaktian, 2012",,,,,,,
,,,,,,,
Desa,Luas km2,Luas % ,Penduduk (orang) Jumlah ,Penduduk (orang) %,Kepadatan Penduduk (orang/km2),,
Batu Putih * ,594.39,21.21,1738.00,15.21,2.80,,
Wermatang ,581.65,19.78,728.00,6.37,1.29,,
Makatian ,1432.71,48.71,1740.00,15.23,2.73,,
Weratan ,93.50,3.18,1738.00,15.21,2.83,,
Themin ,57.19,1.94,756.00,6.62,4.97,,
Welutu ,4.01,0.14,704.00,6.16,10.35,,
Rumah Salut ,21.83,0.74,1524.00,13.34,12.29,,
Kamatubun ,155.89,5.30,2495.00,21.84,15.79,,
2012,2941.16,100.00,11423.00,100.00,3.89,,
