Tabel 3.1.2 Jumlah Penduduk dan Laju Pertumbuhan Penduduk di Kecamatan Wermaktian,,,,,,,
,,,,,,,
Desa,Jumlah Penduduk (orang) 2000,Jumlah Penduduk (orang) 2010,Jumlah Penduduk (orang) 2012,"Laju Pertumbuhan Penduduk (%) 
2000 ­ 2010",,,
Batu Putih ,1543,1659,1738,0.73,,,
Wermatang ,564,695,728,2.11,,,
Makatian ,1186,1661,1740,3.43,,,
Weratan ,1365,1660,1738,1.98,,,
Themin ,643,721,756,1.15,,,
Welutu ,620,672,704,0.81,,,
Rumah Salut ,1206,1455,1524,1.89,,,
Kamatubun ,2006,2382,2495,1.73,,,
,,,,,,,
