"Tabel 7.1.3 Sarana Transportasi yang Digunakan dari Desa Ke Ibukota Kecamatan dan Desa ke Ibukota Kabupaten, 2012",,,,,,,,
,,,,,,,,
Desa,"Desa Ke Ibukota Kecamatan 
1. Perahu Motor
2. Ojek","Desa Ke Ibukota Kabupaten
1. Perahu Motor dan Kapal Motor
2. Ojek dan Kapal Motor",,,,,,
Batu Putih ,1,2,,,,,,
Wermatang ,1,2,,,,,,
Makatian ,1,1,,,,,,
Weratan ,2,1,,,,,,
Themin ,2,1,,,,,,
Welutu ,2,1,,,,,,
Rumah Salut ,2,1,,,,,,
Kamatubun ,2,1,,,,,,
Marantutul ,1,2,,,,,,
