"Tabel 3.1.3 Banyaknya Penduduk Menurut Desa dan Jenis Kelamin di Kecamatan Wermaktian, 2012",,,,,,,
,,,,,,,
Desa ,Penduduk (orang)  Laki ,Penduduk (orang)  Perempuan ,Penduduk (orang)  Jumlah,Rasio Jenis Kelamin,,,
Batu Putih ,879,859,1738,102,,,
Wermatang ,380,348,728,109,,,
Makatian ,901,839,1740,107,,,
Weratan ,885,853,1738,104,,,
Themin ,388,368,756,105,,,
Welutu ,342,362,704,94,,,
Rumah Salut ,791,733,1524,108,,,
Kamatubun ,1272,1223,2495,104,,,
2012,5838,5585,11423,105,,,
