"Tabel 5.1.3 Produksi Tanaman Pangan di Kecamatan Wermaktian (ton), 2010-2012",,,,,,,,,,,
,,,,,,,,,,,
Jenis Tanaman ,2010,2011,2012,,,,,,,,
Padi Ladang ,36,42,118,,,,,,,,
Jagung ,49,56,80,,,,,,,,
Ketela Pohon ,164,164,210,,,,,,,,
Ketela Rambat ,182,182,186,,,,,,,,
Kacang Tanah ,11,22,28,,,,,,,,
Kacang Hijau ,27,27,72,,,,,,,,
Kacang-Kacangan Lainnya ,32,32,52,,,,,,,,
Ubi-Ubian Lainnya ,437,437,480,,,,,,,,
,,,,,,,,,,,
