"Tabel 5.2.3 Produksi Tanaman Sayuran di Kecamatan Wermaktian (ton), 2012",,,,,,,,,,,
,,,,,,,,,,,
Jenis Sayuran,Produksi (ton),,,,,,,,,,
Bawang Merah ,11.3,,,,,,,,,,
Cabe ,4.5,,,,,,,,,,
Kubis ,7.5,,,,,,,,,,
Petsai ,22.8,,,,,,,,,,
Kacang Panjang ,2,,,,,,,,,,
Buncis ,5.2,,,,,,,,,,
Bayam ,4,,,,,,,,,,
Kangkung ,16.1,,,,,,,,,,
