"Tabel 5.4.3 Jumlah Ternak yang Dipotong Menurut Desa di Kecamatan Wermaktian (ekor*), 2011",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Sapi Potong,Kerbau ,Kambing ,Domba ,Babi,,,,,,
Batu Putih ,0,0,0,0,20,,,,,,
Wermatang ,0,0,0,0,25,,,,,,
Makatian ,0,0,0,0,30,,,,,,
Weratan ,0,0,0,0,50,,,,,,
Themin ,0,0,0,0,40,,,,,,
Welutu ,0,0,0,0,35,,,,,,
Rumah Salut ,0,0,0,0,40,,,,,,
Kamatubun ,0,0,0,0,45,,,,,,
Marantutul ,*,,,,,,,,,,
