"Tabel 6.1.1. Banyaknya Perusahaan Menurut Bentuk Badan Hukum di Kecamatan Wermaktian, 2012",,,,,,,,
,,,,,,,,
Desa ,PT ,CV/ Firma,Koperasi ,Perorangan,Lainnya ,Jumlah,,
Batu Putih ,0,0,0,0,0,0,,
Wermatang ,0,0,0,0,0,0,,
Makatian ,0,0,0,0,0,0,,
Weratan ,0,1,1,4,0,6,,
Themin ,0,0,0,1,0,1,,
Welutu ,0,0,0,1,0,1,,
Rumah Salut ,0,0,1,0,0,1,,
Kamatubun ,0,1,1,1,0,3,,
