"Tabel 5.4.1 Populasi Ternak Menurut Desa di Kecamatan Wermaktian (ekor), 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Sapi Potong,Kerbau ,Kambing ,Domba ,Babi,,,,,,
Batu Putih ,5,0,0,0,70,,,,,,
Wermatang ,0,0,5,0,80,,,,,,
Makatian ,0,1,0,0,100,,,,,,
Weratan ,0,0,0,0,50,,,,,,
Themin ,0,0,0,0,20,,,,,,
Welutu ,0,0,0,0,17,,,,,,
Rumah Salut ,0,0,0,0,24,,,,,,
Kamatubun ,0,0,0,0,30,,,,,,
Marantutul ,0,0,0,0,9,,,,,,
