"Tabel 3.1 Luas Wilayah Darat dan Jumlah Penduduk Menurut Desa di Kecamatan Selaru, 2012",,,
,,,
Desa,Luas Wilayah Darat ( km2 ),Jumlah Penduduk ( orang ),Kepadatan Penduduk (jiwa/km2)
Adaut,303.52,5029,16.56
Kandar,138.05,1648,11.93
Namtabung,115.88,1927,16.45
Lingat,138.55,2034,14.68
Werain *),61.47,1246,20.27
Eliasa,-,-,-
Fursui,68.79,946,13.75
