"Tabel 4.1.1 Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Menurut Desa di Kecamatan Selaru, 2011",,,,,,,,,,,
,,,,,,,,,,,
Desa,Gedung Sekolah,Sekolah,Ruang Kelas,Kelas,Murid: Laki-laki,Murid: Perempuan,Murid: Jumlah,Guru: Laki-laki,Guru: Perempuan,Guru: Jumlah,Rasio Murid Guru
Adaut,4,4,24,24,409,465,874,8,18,26,33.62
Kandar,2,2,12,12,145,140,285,6,12,18,15.83
Namtabung,2,2,12,12,151,136,287,9,16,25,11.48
Lingat,3,3,15,15,182,182,364,9,16,25,14.56
Werain *),1,1,6,6,46,47,93,5,2,7,13.29
Eliasa,-,-,-,-,-,-,-,-,-,-,-
Fursui,1,1,6,6,98,81,179,2,3,5,35.8
