"Tabel 5.4.1 Populasi Ternak di Kecamatan Selaru (ekor), 2010 - 2012",,,,,
,,,,,
Tahun,Sapi Potong,Kerbau,Kambing,Domba,Babi
2010,28,-,5,-,3223
2011,27,-,17,-,2191
2012,81,-,17,-,2191
