"Tabel 4.1.6 Murid, Guru, dan Rasio Murid Guru Sekolah Menengah Pertama Swasta Menurut Desa di Kecamatan Selaru, 2011",,,,,,,,,,,
,,,,,,,,,,,
Desa,Gedung Sekolah,Sekolah,Ruang Kelas,Kelas,Murid: Laki-laki,Murid: Perempuan,Murid: Jumlah,Guru: Laki-laki,Guru: Perempuan,Guru: Jumlah,Rasio Murid Guru
Adaut,0,0,0,0,0,0,0,0,0,0,-
Kandar,0,0,0,0,0,0,0,0,0,0,-
Namtabung,0,0,0,0,0,0,0,0,0,0,-
Lingat,0,0,0,0,0,0,0,0,0,0,-
Werain * ),1,1,3,3,40,30,70,2,5,7,10
Eliasa,-,-,-,-,-,-,-,-,-,-,-
Fursui,0,0,0,0,0,0,0,0,0,0,-
