"Tabel 5.2.1 Luas Panen, Produksi, dan Produktivitas Tanaman Sayuran Menurut Jenis di Kecamatan Selaru, 2012",,
,,
Jenis Tanaman,Luas Panen (ha),Produksi (ton)
Bawang Merah,5,25
Cabai,2,6.8
Petsai,3,42
Buncis,0.5,3.8
Kangkung,16,44.8
Bayam,3.5,8.4
Wortel,-,-
Terong,-,-
Ketimun,-,-
