"Tabel 4.1.2 Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Negeri Menurut Desa di Kecamatan Selaru, 2011",,,,,,,,,,,
,,,,,,,,,,,
Desa,Gedung Sekolah,Sekolah,Ruang Kelas,Kelas,Murid: Laki-laki,Murid: Perempuan,Murid: Jumlah,Guru: Laki-laki,Guru: Perempuan,Guru: Jumlah,Rasio Murid Guru
Adaut,4,4,24,24,409,465,874,8,18,26,33.62
Kandar,1,1,6,6,79,64,143,3,6,9,15.89
Namtabung,1,1,6,6,53,57,110,3,7,10,11
Lingat,1,1,6,6,79,64,143,3,6,9,15.89
Werain *),0,0,0,0,0,0,0,0,0,0,-
Eliasa,-,-,-,-,-,-,-,-,-,-,-
Fursui,0,0,0,0,0,0,0,0,0,0,-
