"Tabel 5.1.1 Luas Areal , Luas Panen dan Produksi Tanaman Pangan Menurut Jenis di Kecamatan Selaru, 2012",,,
,,,
Jenis Tanaman,Luas Areal (ha),Luas Panen (ha),Produksi (ton)
Padi Ladang,260,195,351
Jagung,95,90,207.6
Ketela Pohon,60,57,342
Ketela Rambat,43,39,205
Kacang Tanah,49,44,83.8
Kacang Hijau,41,37,29.5
Kacang-Kacang,101,91,72.7
Lainnya Ubi-Ubian Lainnya,85,77,513
2012,734,630,1060
