"Tabel 4.1.7 Murid, Guru, dan Rasio Murid Guru Sekolah Menengah Atas Menurut Desa di Kecamatan Selaru, 2011",,,,,,,,,,,
,,,,,,,,,,,
Desa,Gedung Sekolah,Sekolah,Ruang Kelas,Kelas,Murid: Laki-laki,Murid: Perempuan,Murid: Jumlah,Guru: Laki-laki,Guru: Perempuan,Guru: Jumlah,Rasio Murid Guru
Adaut,1,1,6,6,96,90,186,10,14,24,7.75
Kandar,0,0,0,0,0,0,0,0,0,0,-
Namtabung,0,0,0,0,0,0,0,0,0,0,-
Lingat,0,0,0,0,0,0,0,0,0,0,-
Werain * ),0,0,0,0,0,0,0,0,0,0,-
Eliasa,-,-,-,-,-,-,-,-,-,-,-
Fursui,0,0,0,0,0,0,0,0,0,0,-
