"Tabel 5.5.2 Produksi dan Nilai Perikanan Tangkap Menurut Desa di Kecamatan Selaru, 2011 -2012",,,,
,,,,
Desa,Produksi (ton) : 2011,Produksi (ton) : 2012,Nilai (ribu rupiah) : 2011,Nilai (ribu rupiah) : 2012
Adaut,186.58,154.35,2492518.05,2061663.95
Kandar,105.46,163.43,1408814.55,2182938.3
Namtabung,146.02,208.83,1950666.3,2789310.05
Lingat,137.91,72.64,1842295.95,970194.8
Werain,97.35,118.04,1300444.2,1576566.55
Eliasa,64.9,72.64,866962.8,1455292.2
Fursui,73.01,81.72,975333.15,1091469.15
Selaru,811.22,871.65,10837035,12127435
