Tabel 5.3.1 Luas dan Produksi Tanaman Perkebunan Menurut Jenis,,
,,
Jenis Tanaman,Luas Panen (ha),Produksi (ton)
Kelapa,3454,6093
Kopi,-,-
Coklat,-,-
Jambu Mete,1056,512
