"Tabel 3.3 Banyaknya Penduduk Menurut Desa dan Jenis Kelamin di Kecamatan Selaru, 2012",,,,
,,,,
Desa,Penduduk (orang) Laki - laki,Penduduk (orang) Perempuan,Penduduk (orang) Jumlah,Rasio Jenis Kelamin
Adaut,2469,2560,5029,97
Kandar,850,798,1648,107
Namtabung,978,949,1927,104
Lingat,1010,1024,2034,99
Werain * ),635,611,1246,105
Eliasa,-,-,-,-
Fursui,468,478,946,98
