"Tabel 3.2 Jumlah Penduduk dan Laju Pertumbuhan Penduduk di Kecamatan Selaru, 2000, 2010, dan 2012",,,,
,,,,
Desa,Jumlah Penduduk (orang) 2000,Jumlah Penduduk (orang) 2010,Jumlah Penduduk (orang) 2012,Laju Pertumbuhan Penduduk Per Tahun (%) 2000 - 2010
Adaut,3778,4802,5029,2.4
Kandar,1632,1573,1648,0.37
Namtabung,1742,1839,1927,0.54
Lingat,1737,1942,2034,1.12
Werain *),1025,1190,1246,1.5
Eliasa,-,-,-,-
Fursui,756,903,946,1.79
