Tabel 5.3.1 Populasi Ternak Menurut Jenis Ternak di Kecamatan Molu Maru,,
,,
Jenis Ternak,Populasi(ekor) 2011,Populasi(ekor) 2012
Sapi,0,0
Kerbau,0,0
Kambing,8,14
Domba,0,0
Babi,1161,1531
Kuda,0,0
