Tabel 5.2.1 Luas Panen Tanaman Sayuran di Kecamatan Molu Maru,,
,,
Jenis Sayuran,Luas Areal(ha) 2011,Luas Areal(ha) 2012
Bawang Merah,0.5,1
Cabe,0.5,1
Kubis,0.75,1
Petsai,1,1.5
Kacang Panjang,0.25,0.25
Buncis,0.25,0.5
