"Tabel 4.1.3 Banyaknya Gedung Sekolah Dasar Swasta, Murid, dan Guru di Kecamatan Molu Maru",,
,,
Uraian,2010/2011,2011-2012
Gedung Sekolah,5,5
Sekolah,5,5
Murid,1006,527
Guru,38,26
