"Tabel 4.1.4 Banyaknya Gedung Sekolah Menengah Tingkat Pertama, Murid, dan Guru di Kecamatan Molu Maru",,
,,
Uraian,2010/2011,2011-2012
Gedung Sekolah,2,2
Sekolah,2,2
Murid,199,212
Guru,15,14
