Tabel 4.2.3 Hasil Monitoring Status Gizi di Kecamatan Molu Maru,,,,
,,,,
Tahun,"Jumlah Balita yang
Ditimbang",Status Gizi Baik,Status Gizi Kurang,Status Gizi Buruk
2011,173,154,11,8
2012,173,154,11,8
