"Tabel 4.1.8 Banyaknya Gedung Sekolah Menengah Tingkat Atas Negeri, Murid, Guru di Kecamatan Molu Maru",,
,,
Uraian,2010/2011,2011-2012
Gedung Sekolah,1,1
Sekolah,1,1
Murid,50,81
Guru,1,2
