Tabel 4.1.11 Rasio Murid Terhadap Guru per Jenjang Pendidikan di Kecamatan Molu Maru,,,
,,,
T a h u n,Sekolah Dasar,S M T P,S M T A
2010/2011,26.47,13.27,50
2011/2012,20.27,15.14,40.5
