Tabel 3.1 Jumlah Penduduk Kecamatan Molu Maru Hasil Sensus Penduduk Tahun 2000 dan 2010 Dirinci per Desa,,
,,
D e s a Village,SP 2000,SP 2010
Nurkat,534,677
Tutunametal,378,419
Wulmasa,440,460
Wadankou,559,606
Adodo Molu,554,613
