Tabel 4.2.5 Banyaknya Kelahiran Menurut Penolong Persalinan di Kecamatan Molu Maru,,,
,,,
Tahun,Persalinan yang Ditolong Bidan,Persalinan yang Ditolong Dukun Terlatih,Persalinan yang Ditolong Jumlah
2011,65,8,73
2012,65,27,89
