Tabel 2.3 Status Perkembangan Desa di Kecamatan Molu Maru,,
,,
"D e s a
Village","S t a t u s
Status/ Maju
Advanced","S t a t u s
Status/ Tertinggal
Left Behind"
Nurkat,-,+
Tutunametal,-,+
Wulmasa,-,+
Wadankou,-,+
Adodo Molu,-,+
