Tabel 3.6 Jumlah Penduduk Kecamatan Molu Maru Tahun 2012 Dirinci per Jenis Kelamin dan Desa,,,
,,,
D e s a Village,Laki – Laki Male,Perempuan Female,Jumlah Total
Nurkat,358,351,709
Tutunametal,237,202,439
Wulmasa,250,232,482
Wadankou,334,301,635
Adodo Molu,327,315,642
