"Tabel 4.3.3 Banyaknya Anak Terlantar di Kecamatan Molu Maru, 2011 - 2012",,
,,
Anak Terlantar,2011,2012
Yatim,33,33
Piatu,51,51
Yatim Piatu,15,15
Cerai,34,34
Pisah,0,0
