Tabel 4.1.10 Rata-Rata Murid per Sekolah  Menurut Jenjang Pendidikan di Kecamatan Molu  Maru,,,
,,,
T a h u n,Sekolah Dasar,S M T P,S M T A
2010/2011,201,100,50
2011/2012,527,212,81
