Tabel 3.3 Pertumbuhan dan Laju Pertumbuhan Penduduk Kecamatan Molu Maru Hasil Sensus Penduduk 2000 dan 2010 Dirinci per Desa,,
,,
D e s a,Pertumbuhan Penduduk 2000-2010,Laju Pertumbuhan Penduduk 2000-2010 (%)
Nurkat,143,2.4
Tutunametal,41,1.04
Wulmasa,20,0.45
Wadankou,47,0.81
Adodo Molu,59,1.02
