"Tabel 4.1.1 Banyaknya Gedung Sekolah Dasar, Murid dan Guru di Kecamatan Molu Maru",,
,,
Uraian,2010/2011,2011-2012
Gedung Sekolah,5,5
Sekolah,5,5
Murid,527,1006
Guru,26,38
