"Tabel 4.1.2 Banyaknya Gedung Sekolah  Dasar Negeri, Murid, dan Guru di Kecamatan  Molu Maru",,
,,
Uraian,2010/2011,2011-2012
Gedung Sekolah,0,0
Sekolah,0,0
Murid,0,0
Guru,0,0
