"Tabel 4.1.9  Banyaknya Gedung Sekolah Menengah Tingkat Atas Swasta, Murid, Guru di Kecamatan Molu Maru",,
,,
Uraian,2010/2011,2011-2012
Gedung Sekolah,0,0
Sekolah,0,0
Murid,0,0
Guru,0,0
