Tabel 5.4.4 Banyaknya Alat Penangkap Ikan di Kecamatan Molu Maru,,,,,,
,,,,,,
D e s a,"Jaring
Insang","Jaring
Angkat",Pancing,Perangkap,"Alat
Pengumpul &
Alat Tangkap",Lainnya
Nurkat,24,-,57,16,22,58
Tutunametal,21,2,67,15,28,66
Wulmasa,35,-,80,13,40,69
Wadankou,30,-,85,17,38,66
Adodo Molu,10,-,65,8,25,73
