Tabel 2.5 Keberadaan Aparat Pemerintahan Desa di Kecamatan Molu Maru,,
,,
"D e s a
Village","Kepala Desa Definitif
Definitive Village Head","Sekretaris Desa
Village Secretary"
Nurkat,+,+
Tutunametal,+,+
Wulmasa,+,+
Wadankou,+,+
Adodo Molu,+,+
