Tabel 5.3.3 Jumlah Ternak yang Dipotong Menurut Jenis Ternak di Kecamatan Molu Maru,,
,,
Jenis Unggas,Populasi(ekor) 2011,Populasi(ekor) 2012
Itik,7,11
Ayam Buras,605,709
