"Tabel 5.3.3 Produksi Tanaman Perkebunan di Kecamatan Tanimbar Selatan (Ha), 2011 - 2012",,
,,
Jenis tanaman perkebunan ,Tahun 2011 ,Tahun 2012
karet , -  , - 
kelapa ,"4,605.00","4,962.00"
Kelapa sawit , -  , - 
kopi , -  , - 
lada , -  , - 
kakao ,0.8,85
Jambu Mete ,"1,300.00","1,304.00"
