"Tabel 3.4 Banyaknya Penduduk, Kepala Keluarga, dan Rata-rata Anggota Keluarga Menurut Desa di Kecamatan Tanimbar Selatan, 2012",,,,,
,,,,,
Desa ,Penduduk ,Kepala Keluarga,Rata-rata Anggota Keluarga,,
Saumlaki ,"12,578","3,322",4,,
Olilit ,"5,994","1,381",4,,
Sifnana ,"3,000",897,3,,
Lauran ,"2,245",757,3,,
Kabyarat ,607,371,2,,
Ilngei ,"1,030",552,3,,
Wowonda ,"1,831",667,3,,
Bomaki ,"1,102",389,3,,
Lermatang ,"1,116",498,2,,
Latdalam ,"2,428","1,004",2,,
Matakus ,460,288,2,,
