"Tabel 2.5 Banyaknya Sertifikat Tanah yang di Keluarkan Menurut Jenis Hak Atas Tanah di kecamatan Tanimbar Selatan, 2012",,,,,
,,,,,
Jenis,2011,2012,,,
Hak Milik,"2,582",133,,,
Hak Guna Bangunan,-,-,,,
Hak Guna Usaha,-,-,,,
Pakai,20,17,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
