"Tabel 2.1 Banyaknya Dusun, Rukun Warga/Rukun Kampung, dan Rukun Tetangga menurut Desa di Kecamatan Tanimbar Selatan, 2012",,,,
,,,,
Desa/Kelurahan ,Dusun ,RW/RK ,RT,
Saumlaki ,0,8,28,
Olilit ,1,0,25,
Sifnana ,0,3,6,
Lauran ,0,3,6,
Kabyarat ,0,0,5,
Ilngei ,1,0,8,
Wowonda ,0,4,10,
Bomaki ,0,0,10,
Lermatang ,0,0,7,
Latdalam ,0,8,16,
Matakus ,0,0,2,
,,,,
,,,,
,,,,
,,,,
