"Tabel 6.4 Banyaknya Koperasi Menurut Jenis Kecamatan Tanimbar Selatan, 2012",,,,,,
,,,,,,
Desa ,KUD ,KPN ,KOPKAR ,KOPPAS ,Lainnya ,Jumlah
Keluarahan Saumlaki,2,10,1,1,69,81
Olilit ,0,0,0,0,12,12
Sifnana ,0,0,0,0,6,6
Lauran ,0,0,0,0,3,3
Kabyarat ,0,0,0,0,2,2
Ilngei ,0,0,0,0,3,3
Wowonda ,0,0,0,0,1,1
Bomaki ,0,0,0,0,2,2
Lermatang ,0,0,0,0,2,2
Latdalam ,0,0,0,0,6,6
Matakus ,0,0,0,0,1,1
